question,answer,category,time,difficulty
"**Exercise Habits (Level):** Refer to the Exercise Habits question (question 5). Interpret the confidence level.","The 95% confidence level means that if we were to take many random samples of US adults and calculate a 95% confidence interval for each, about 95% of these intervals would capture the true proportion of US adults who exercise regularly.","Statistics (Confidence Intervals)",300,"Easy"
"**Apartment Rent:** The 2020 census estimated the median monthly rent for apartments in a city. According to the census data, a 90% confidence interval for the 2020 median monthly rent in City A is $1250 ± $80. a. Interpret the confidence interval. b. Interpret the confidence level.","a. We are 90% confident that the interval from $1170 to $1330 captures the true median monthly rent for apartments in City A in 2020. b. The 90% confidence level means that if we were to take many random samples of apartments in City A and calculate a 90% confidence interval for each, about 90% of these intervals would capture the true median monthly rent.","Statistics (Confidence Intervals)",600,"Medium"
"**Home Prices:** A real estate website reports a 90% confidence interval for the 2023 median home price in County B as $450,000 ± $15,000. a. Interpret the confidence interval. b. Interpret the confidence level.","a. We are 90% confident that the interval from $435,000 to $465,000 captures the true median home price in County B in 2023. b. The 90% confidence level means that if we were to take many random samples of homes in County B and calculate a 90% confidence interval for each, about 90% of these intervals would capture the true median home price.","Statistics (Confidence Intervals)",600,"Medium"
"**Confidence Level Visualization:** A simulation shows the results of taking 30 SRSs from a population and constructing a confidence interval for the population mean from each sample. Visually, most, but not all, of the intervals capture the true population mean. Which confidence level - 70%, 80%, 90%, or 99% - is *most likely* to have been used? Explain.","A 90% confidence level is most likely. 99% would capture almost all, 70% and 80% would capture fewer. The description of 'most, but not all' best fits 90%.","Statistics (Confidence Intervals)",600,"Medium"
"**Another Confidence Level Visualization:** Imagine a similar visualization to the previous question, but this time, *very nearly all* of the 30 confidence intervals capture the true population mean. Which confidence level - 70%, 80%, 90%, or 99% - is *most likely* to have been used? Explain.","A 99% confidence level is most likely. This level has the highest probability of capturing the true population mean, resulting in almost all intervals containing it.","Statistics (Confidence Intervals)",600,"Medium"
"**BMI Confidence Explanation:** A 95% confidence interval for the mean BMI of adult women in a city is 25.5 ± 1.2. Discuss whether each of the following explanations is correct. a. We are confident that 95% of all adult women in the city have a BMI between 24.3 and 26.7. b. We are 95% confident that future samples of adult women from this city will have a mean BMI between 24.3 and 26.7. c. Any value from 24.3 to 26.7 is believable as the true mean BMI of adult women in the city. d. If we take many samples, the population mean BMI will be between 24.3 and 26.7 in about 95% of those samples. e. The mean BMI of adult women in the city cannot be 24.","a. Incorrect - CI is about the *mean*, not individual values. b. Incorrect - CI is about the *population* mean, not future *sample* means. c. Correct - This is the proper interpretation of a CI. d. Incorrect - The *population* mean is fixed; it's the *intervals* that vary. e. Correct - 24 is outside the interval, so it is not a plausible value for the true mean.","Statistics (Confidence Intervals)",900,"Medium"
"**IQ Score Confidence Explanation:** The average IQ score is supposed to be 100. A psychologist reports a 95% confidence interval for the mean IQ score of a group of students as (98, 104). Discuss whether each of the following explanations is correct. a. There is a 95% probability that the interval from 98 to 104 contains μ. b. There is a 95% chance that the interval (98, 104) contains x̄. c. This interval was constructed using a method that produces intervals that capture the true mean in 95% of all possible samples. d. If we take many samples, about 95% of them will contain the interval (98, 104). e. The probability that the interval (98, 104) captures μ is either 0 or 1, but we don’t know which.","a. Incorrect - Once calculated, the probability is 0 or 1. b. Incorrect - The sample mean is *always* at the center of the calculated CI. c. Correct - This is the definition of a confidence *level*. d. Incorrect - 95% of the *intervals* would contain the true mean, not the other way around. e. Correct - This is a fundamental concept of confidence intervals.","Statistics (Confidence Intervals)",900,"Medium"
"**Coffee Preference Changes:** Refer back to the Coffee Preference question (question 4). a. Explain what would happen to the length of the interval if the confidence level were increased to 99%. b. How would a 95% confidence interval based on a sample size of 800 (double the original) compare to the original 95% interval? c. The survey also included questions about other beverage preferences. What are some 'practical difficulties,' besides sampling variability, that might introduce error into the survey results?","a. Increasing the confidence level would *increase* the length of the interval. b. Doubling the sample size would *decrease* the length of the interval (by a factor of approximately the square root of 2). c. Practical difficulties: Nonresponse bias, untruthful answers, question wording effects, interviewer effects.","Statistics (Confidence Intervals)",900,"Medium"
"**Exercise Habits Changes:** Refer back to the Exercise Habits question (question 5). a. Explain what would happen to the length of the interval if the confidence level were decreased to 90%. b. How would a 95% confidence interval based on a sample size of 1200 (triple the original) compare to the original 95% interval? c. What are some potential 'nonsampling errors' that could affect the accuracy of the 95% confidence interval, beyond the usual sampling variability?","a. Decreasing the confidence level would *decrease* the length of the interval. b. Tripling the sample size would *decrease* the length of the interval (by a factor of approximately the square root of 3). c. Nonsampling errors: Nonresponse bias, response bias (overreporting exercise), question wording, interviewer bias.","Statistics (Confidence Intervals)",900,"Medium"
"**Commute Times in City B:** People enjoy living in City B for its vibrant culture, but commute times can be long. Based on a random sample of 300 employed adults in City B, a 90% confidence interval for the average commute time to work for all employed City B adults is 28 minutes to 34 minutes. a. Interpret the confidence level. b. Name two things you could do to reduce the margin of error. What drawbacks do these actions have? c. Describe how the way the question is asked could introduce bias. Does the margin of error take that into account?","a. The 90% confidence level means that if we were to take many random samples of employed adults in City B and calculate a 90% confidence interval for each, about 90% of these intervals would capture the true average commute time. b. 1. Increase sample size (more costly/time-consuming). 2. Decrease confidence level (increases chance the interval doesn't contain the true mean). c. Leading questions ('Don't you hate the long commute in City B?') could bias responses. The stated margin of error does *not* account for this.","Statistics (Confidence Intervals)",900,"Medium"
"**Restaurant Spending:** A restaurant industry analyst collects data on weekly spending at restaurants. Based on a random sample of 500 households, a 99% confidence interval for the mean weekly spending on restaurants for all households in the area is $85 to $105. a. Interpret the confidence level. b. Name two things you could do to reduce the margin of error. What drawbacks do these actions have? c. Describe how the inclusion of only *certain types* of households in the sample might lead to bias. Does the stated margin of error account for this?","a. The 99% confidence level means that if we were to take many random samples of households and calculate a 99% confidence interval for each, about 99% of
"**Rating School Food:** Latoya wants to estimate the proportion of seniors at her boarding school (175 seniors) who like the cafeteria food. She interviews an SRS of 50 seniors and finds that 14 think the cafeteria food is good. What is the sample proportion of seniors who like the cafeteria food?","The sample proportion is 14/50 = 0.28, or 28%.","Statistics (Sampling Distributions)",180,"Easy"
"**High Tuition Costs:** Glenn wonders what proportion of the students at his college (2400 students) believe that tuition is too high. He interviews an SRS of 50 students and finds 38 of those interviewed think tuition is too high. Calculate the sample proportion.","The sample proportion is 38/50 = 0.76, or 76%.","Statistics (Sampling Distributions)",180,"Easy"
"**Salty Chips:** A quality control inspector takes a random sample of 25 bags of potato chips from the thousands of bags filled in an hour. Of the bags selected, 3 had too much salt. Calculate the sample proportion of bags with too much salt.","The sample proportion is 3/25 = 0.12, or 12%.","Statistics (Sampling Distributions)",180,"Easy"
"**Whelks and Mussels:** Researchers are studying whelk predation on mussels. They raise 98 whelks in a lab and place each in a container with mussels. Only 9 of the whelks drill into a mussel. Calculate the sample proportion of whelks that drilled into a mussel.","The sample proportion is 9/98 = approximately 0.092, or 9.2%.","Statistics (Sampling Distributions)",180,"Easy"
"**The 10% Condition:** a. Why is it necessary to check the 10% condition (sample size less than 10% of population size) when constructing a confidence interval for a population proportion? b. What happens to the capture rate if this condition is violated?","a. The 10% condition ensures that the sample is small enough relative to the population that removing each individual doesn't significantly change the remaining population's proportion.  This keeps the trials approximately independent, which is an assumption of the formulas used. b. If violated, the standard error will be overestimated, and the capture rate of the confidence interval will be *higher* than the stated confidence level.  The interval will be wider than necessary.","Statistics (Confidence Intervals)",600,"Medium"
"**The Large Counts Condition:** a. Why is it necessary to check the Large Counts condition (both  `np̂` and `n(1-p̂)` are at least 10) when constructing a confidence interval for a population proportion? b. What happens to the capture rate if this condition is violated?","a. The Large Counts condition ensures that the sampling distribution of the sample proportion is approximately Normal. This Normality is crucial for using the z* critical value in the confidence interval calculation. b. If violated, the sampling distribution may be skewed, and the capture rate will likely be *lower* than the stated confidence level. The interval may not be reliable.","Statistics (Confidence Intervals)",600,"Medium"
"**Selling Online:** According to a report, many American adults have made money selling things online. In a random sample of 4579 American adults, 914 reported earning money this way in the past year. Assume conditions for inference are met. a. Determine the critical value (z*) for a 98% confidence interval for a proportion. b. Construct a 98% confidence interval for the proportion of all American adults who earned money selling online. c. Interpret the interval from part (b).","a. The critical value z* for a 98% confidence interval is approximately 2.33 (using a z-table or calculator). b. The 98% confidence interval is approximately (0.183, 0.215).  p̂ = 914/4579 ≈ 0.1996.  Margin of error = 2.33 * sqrt((0.1996 * 0.8004) / 4579) ≈ 0.016. c. We are 98% confident that the interval from 0.183 to 0.215 captures the true proportion of all American adults who earned money selling something online in the previous year.","Statistics (Confidence Intervals)",900,"Medium"
"**Reporting Cheating (Confidence Interval):** A student project asked an SRS of 172 undergraduates, 'Would you report cheating?' Only 19 answered 'Yes.' Assume conditions for inference are met. a. Determine the critical value (z*) for a 96% confidence interval for a proportion. b. Construct a 96% confidence interval for the proportion of all undergraduates who would report cheating. c. Interpret the interval from part (b).","a. The critical value z* for a 96% confidence interval is approximately 2.05 (using a z-table or calculator). b. The 96% confidence interval is approximately (0.063, 0.158). p̂ = 19/172 ≈ 0.1105. Margin of error = 2.05 * sqrt((0.1105 * 0.8895) / 172) ≈ 0.0475. c. We are 96% confident that the interval from 0.063 to 0.158 captures the true proportion of all undergraduates at this university who would report cheating.","Statistics (Confidence Intervals)",900,"Medium"
"**Online Sales Standard Error:** Refer to the 'Selling Online' scenario (question 7). Calculate and interpret the standard error of  `p̂` for these data.","The standard error of p̂ is approximately 0.006.  SE = sqrt((0.1996 * 0.8004) / 4579) ≈ 0.0059. This estimates the standard deviation of the sampling distribution of p̂; it's the typical distance of a sample proportion from the true proportion.","Statistics (Confidence Intervals)",300,"Medium"
"**Cheating Standard Error:** Refer to the 'Reporting Cheating' scenario (question 8). Calculate and interpret the standard error of  `p̂` for these data.","The standard error of p̂ is approximately 0.024. SE = sqrt((0.1105 * 0.8895) / 172) ≈ 0.0239. This estimates the standard deviation of the sampling distribution of  p̂; it's the typical distance of a sample proportion from the true proportion.","Statistics (Confidence Intervals)",300,"Medium"
"**Going to the Prom (Inference):** Tonya wants to estimate the proportion of her school's 750 seniors planning to attend prom. She interviews an SRS of 50 seniors, finding 36 plan to go. a. Identify the population and parameter of interest. b. Check conditions for constructing a confidence interval. c. Construct a 90% confidence interval for p. d. Interpret the interval in context.","a. Population: All 750 seniors at Tonya's school. Parameter: p, the true proportion of seniors who plan to attend prom. b. Random: SRS stated. 10%: 50 < 0.10(750) = 75. Large Counts: 50(0.72) = 36 ≥ 10 and 50(0.28) = 14 ≥ 10. c. The 90% confidence interval is approximately (0.618, 0.822). p̂ = 36/50 = 0.72. z* for 90% is 1.645. Margin of error = 1.645 * sqrt((0.72 * 0.28) / 50) ≈ 0.102. d. We are 90% confident that the interval from 0.618 to 0.822 captures the true proportion of seniors at Tonya's school who plan to attend the prom.","Statistics (Confidence Intervals)",1200,"Medium"
"**Student Government (Inference):** The student body president claims to know at least 1000 of the 1800 students. A random sample of 100 students is selected, and the president correctly names 46. a. Identify the population and parameter. b. Check conditions for a CI. c. Construct a 99% confidence interval for p. d. Interpret the interval.","a. Population: All 1800 students at the school. Parameter: p, the true proportion of students the president can name. b. Random: Stated. 10%: 100 < 0.10(1800) = 180. Large Counts: 100(0.46) = 46 ≥ 10 and 100(0.54) = 54 ≥ 10. c. The 99% confidence interval is approximately (0.33, 0.59). p̂ = 46/100 = 0.46. z* for 99% is 2.576. Margin of error = 2.576 * sqrt((0.46 * 0.54) / 100) ≈ 0.13. d. We are 99% confident that the interval from 0.33 to 0.59 captures the true proportion of students at the school whom the president can name.","Statistics (Confidence Intervals)",1200,"Medium"
"**Video Games:** A report estimates 49% of U.S. adults play video games. This is based on a random sample of 2001 U.S. adults. Construct and interpret a 95% confidence interval for the proportion of *all* U.S. adults who play video games.","The 95% confidence interval is approximately (0.468, 0.512). p̂ = 0.49. z* for 95% is 1.96. Margin of error = 1.96 * sqrt((0.49 * 0.51) / 2001) ≈ 0.022. We are 95% confident that the interval from 0.468 to 0.512 captures the true proportion of all U.S. adults who play video games.","Statistics (Confidence Intervals)",720,"Medium"
"**September 11:** A study asked U.S. adults to name impactful historical events. 76% of 2025 randomly selected adults included the 9/11 attacks. Construct and interpret a 95% confidence interval for the proportion of *all* U.S. adults who would include 9/11.","The 95% confidence interval is approximately (0.742, 0.778).  p̂ = 0.76. z* for 95% is 1.96. Margin of error = 1.96 * sqrt((0.76 * 0.24) / 2025) ≈ 0.018. We are 95% confident that the interval from 0.742 to 0.778 captures the true proportion of all U.S. adults who would include the 9/11 attacks.","Statistics (Confidence Intervals)",720,"Medium"
"**Age and Video Games (Margin of Error):** Refer to the Video Games study (question 13). It's reported that 67% of 18-29 year olds play, and 25% of those 65+ play. a. Explain why we don't have enough information for separate CIs. b. Would a 95% CI for 18-29 year olds have a larger or smaller margin of error than the overall CI from question 13? Explain.","a. We don't know the *sample sizes* for the 18-29 and 65+ age groups.  We only have the overall sample size. b. It's likely the 18-29 group's CI would have a *larger* margin of error.  The overall sample (2001) is likely larger than the sample of just 18-29 year olds. Smaller samples lead to larger margins of error. Also p(1-p) is largest at p = .5, .67 is farther from .5 than the original .49 is.","Statistics (Confidence Intervals)",600,"Medium"
"**Age and September 11 (Margin of Error):** Refer to the September 11 study (question 14). 86% of millennials included 9/11, and 70% of baby boomers did. a. Explain why we don't have enough info for separate CIs. b. Would a 95% CI for baby boomers have a larger or smaller margin of error than the overall CI in question 14?","a. We lack the *sample sizes* for millennials and baby boomers separately. b. The margin of error for baby boomers would likely be *larger*. The overall sample of 2025 is likely larger than just the baby boomer sample. Further, 0.70 results in larger value of p(1-p) than .76.","Statistics (Confidence Intervals)",600,"Medium"
"**Food Fight (Majority):** A survey of 1480 randomly selected U.S. adults found 55% agreed, 'Organic produce is better for health.' a. Construct and interpret a 99% confidence interval for the proportion of *all* U.S. adults who agree. b. Does this interval provide convincing evidence that a *majority* agree? Explain.","a. The 99% confidence interval is approximately (0.518, 0.582). p̂ = 0.55. z* for 99% is 2.576. Margin of error = 2.576 * sqrt((0.55 * 0.45) / 1480) ≈ 0.033. We are 99% confident that the interval from 0.518 to 0.582 captures the true proportion. b. Yes, the entire interval lies *above* 0.50 (50%), providing convincing evidence that a majority of U.S. adults believe organic produce is healthier.","Statistics (Confidence Intervals)",900,"Medium"
"**Three Branches of Government:** A study found only 36% of U.S. adults could name all three branches of government. This was based on a random sample of 1416 adults. a. Construct and interpret a 90% confidence interval. b. Does the interval provide convincing evidence that *less than half* could name all three branches?","a. The 90% confidence interval is approximately (0.34, 0.38). p̂ = 0.36. z* for 90% is 1.645. Margin of error = 1.645 * sqrt((0.36 * 0.64) / 1416) ≈ 0.021.  We are 90% confident that the interval from 0.34 to 0.38 captures the true proportion. b. Yes, the entire interval lies *below* 0.50 (50%), providing convincing evidence that less than half of U.S. adults could name all three branches of government.","Statistics (Confidence Intervals)",900,"Medium"
"**Prom Totals:** Refer to the 'Going to the Prom' scenario (question 11). Using the 90% confidence interval (0.618, 0.822), construct and interpret a 90% confidence interval for the *total* number of seniors planning to attend the prom.","The 90% confidence interval for the total number is approximately (464, 617).  Multiply the endpoints of the proportion CI by the population size: 0.618 * 750 ≈ 463.5 and 0.822 * 750 ≈ 616.5. We are 90% confident that the interval from 464 to 617 captures the true *number* of seniors planning to attend the prom.","Statistics (Confidence Intervals)",480,"Medium"
"**Student Body President Totals:** Refer to the 'Student Government' scenario (question 12). Using the 99% confidence interval (0.33, 0.59), construct and interpret a 99% confidence interval for the *total* number of students the president can name.  Then, evaluate the president's claim (knowing at least 1000 students).","The 99% confidence interval for the total number is approximately (594, 1062). Multiply endpoints by population size: 0.33 * 1800 = 594 and 0.59 * 1800 = 1062. We are 99% confident that the interval from 594 to 1062 captures the true *number* of students the president can name. The president's claim is *not strongly supported*, as the interval includes values significantly lower than 1000.","Statistics (Confidence Intervals)",480,"Medium"
"**Critical Values (t):**  Find the critical value (t*) that should be used for a confidence interval for a population mean in the following situations: a. A 95% confidence interval based on n = 10 randomly selected observations. b. A 99% confidence interval from an SRS of 20 observations. c. A 90% confidence interval based on a random sample of 77 individuals.","a. For n=10, df = 9.  t* for 95% confidence is 2.262. b. For n=20, df = 19. t* for 99% confidence is 2.861. c. For n=77, df = 76.  t* for 90% confidence is approximately 1.665 (using df=75 from the table, or software for a more precise value).","Statistics (t-intervals)",360,"Easy"
"**Critical Values (t) - II:** Find the critical value (t*) for a confidence interval for a population mean in these situations: a. A 90% confidence interval based on n = 12 randomly selected observations. b. A 95% confidence interval from an SRS of 30 observations. c. A 99% confidence interval based on a random sample of size 58.","a. For n=12, df = 11. t* for 90% is 1.796. b. For n=30, df = 29. t* for 95% is 2.045. c. For n=58, df = 57. t* for 99% is approximately 2.665 (using df=55 from table).","Statistics (t-intervals)",360,"Easy"
"**Weeds Among the Corn (Normality):** A study examines the number of seeds produced by velvetleaf weeds in a cornfield.  A random sample of 28 plants is taken.  A histogram of the seed counts is provided (but not to me, the model!).  *Assuming the histogram shows a roughly unimodal and symmetric distribution with no strong outliers*, is the Normal/Large Sample condition met? Explain.","Yes, the Normal/Large Sample condition is met. Even though we don't *know* the population is Normal, the sample size (n=28) is reasonably large, and the described histogram (unimodal, symmetric, no outliers) suggests the sampling distribution of the sample mean will be approximately Normal.  n < 30, but the distribution shape allows us to proceed.","Statistics (t-intervals)",300,"Medium"
"**Medical Journal Word Length (Normality):** A researcher is interested in the reading level of a medical journal, measured by word length. A random sample of 100 words is taken, and a histogram of the word lengths is created (but not provided to me!). *Assuming the histogram shows some skewness, but no extreme outliers*, is the Normal/Large Sample condition met? Explain.","Yes, the Normal/Large Sample condition is met.  Even with some skewness in the *sample* data, the sample size (n=100) is quite large.  The Central Limit Theorem suggests that the sampling distribution of the sample mean will be approximately Normal, regardless of the population distribution's shape, because n > 30.","Statistics (t-intervals)",300,"Medium"
"**AP Stats Internet Time (Conditions):**  You want to estimate the average time students at your school spend on the Internet. You collect data from the 32 members of your AP Statistics class.  Are the conditions for constructing a confidence interval for the population mean met? Explain.","No, the conditions are likely *not* met.  Random: This is a convenience sample, not a random sample of *all* students at the school.  10%: Not relevant here since we have a convenience sample, we are not generalizing. Normal/Large Sample:  n=32, which is > 30.  Because the random condition is not met the results will not generalize to the population.","Statistics (t-intervals)",480,"Medium"
"**Real Estate Market (Conditions):** A realtor wants to estimate the mean sales price of homes. They randomly select 100 home sales from the previous 6 months. A boxplot of the sales prices is provided (but not to me!). *Assuming the boxplot shows a moderate skew and a couple of potential outliers*, are the conditions for constructing a confidence interval for the population mean met? Explain.","Yes, the conditions are likely met. Random: Stated as a random sample. 10%:  100 sales is likely less than 10% of all sales in a large city in 6 months. Normal/Large Sample: n=100, which is quite large (n > 30). Even with moderate skew and potential outliers, the large sample size means the sampling distribution of the sample mean will be approximately Normal.","Statistics (t-intervals)",480,"Medium"
"**President Ages (Conditions):** You want to estimate the average age at which U.S. presidents have died. You obtain a list of all U.S. presidents who have died and their ages at death. Are the conditions for constructing a confidence interval for the population mean met? Explain.","No, the conditions are *not* met. Random: This is a *census* of all U.S. presidents who have died, not a random sample. The goal isn't to generalize to a larger population; the data *is* the population of interest.  Inference procedures (like confidence intervals) are not appropriate for a census.","Statistics (t-intervals)",480,"Medium"
"**Teen Texts vs. Calls (Conditions):** To compare texting and calling habits, an AP Statistics class collected data on the number of texts and calls sent/received by 25 randomly selected students. A boxplot of the *difference* (Texts - Calls) for each student is provided (but not to me!). *Assuming the boxplot shows a roughly symmetric distribution with no outliers*, are the conditions met for a confidence interval for the mean difference?","Yes, the conditions are likely met. Random: Stated as a random sample. 10%: 25 is likely less than 10% of all students at a large high school.  Normal/Large Sample: n=25. Although n < 30, the question stated to assume the boxplot of the differences is roughly symmetric with no outliers.","Statistics (t-intervals)",480,"Medium"
"**Blood Pressure Standard Error:** In a medical study of 27 randomly selected adults, the sample mean seated systolic blood pressure was 114.9, and the sample standard deviation was 9.3. Calculate and interpret the standard error of the mean.","The standard error of the mean is approximately 1.79. SE = s / sqrt(n) = 9.3 / sqrt(27) ≈ 1.789. This estimates the standard deviation of the sampling distribution of the sample mean. It represents the typical distance between a sample mean and the true population mean.","Statistics (t-intervals)",300,"Medium"
"**Commute Time Standard Error:** A study of commuting times reports the travel times to work of a random sample of 20 employed adults. The sample mean is 31.25 minutes, and the sample standard deviation is 21.88 minutes. Calculate and interpret the standard error of the mean.","The standard error of the mean is approximately 4.89 minutes. SE = s / sqrt(n) = 21.88 / sqrt(20) ≈ 4.89. This is an estimate of the standard deviation of the sampling distribution of the sample mean, representing the typical distance between a sample mean and the true population mean.","Statistics (t-intervals)",300,"Medium"
"**Bone Loss (Confidence Interval):** Researchers measured the percent change in bone mineral content (BMC) in a random sample of 47 breastfeeding mothers. The sample mean change was -3.587% with a standard deviation of 2.506%. a. Construct and interpret a 99% confidence interval for the mean percent change in BMC. b. Based on the interval, is there convincing evidence that mothers lose bone mineral, on average?","a. The 99% confidence interval is approximately (-4.55%, -2.62%). df = 46. t* for 99% is approximately 2.690 (using df=45). Margin of error = 2.690 * (2.506 / sqrt(47)) ≈ 0.97. We are 99% confident that the interval from -4.55% to -2.62% captures the true mean percent change in BMC for breastfeeding mothers. b. Yes, the entire interval is *negative*, providing convincing evidence that breastfeeding mothers, on average, lose bone mineral.","Statistics (t-intervals)",900,"Medium"
"**Atlanta Reading Scores (Confidence Interval):** The TUDA reading test has scores from 0 to 500. A random sample of 1470 eighth-graders in Atlanta had a mean score of 240 with a standard deviation of 42.17. a. Construct and interpret a 99% confidence interval for the mean reading score of *all* Atlanta eighth-graders. b. A 'basic' reading level is 243. Based on the interval, is there convincing evidence the mean score is *less than* the basic level?","a. The 99% confidence interval is approximately (237.1, 242.9). df = 1469. t* for 99% is approximately 2.576 (using large sample, z* is a good approximation). Margin of error = 2.576 * (42.17 / sqrt(1470)) ≈ 2.83. We are 99% confident that the interval from 237.1 to 242.9 captures the true mean reading score. b. Yes, the entire interval lies *below* 243, providing convincing evidence that the mean reading score for Atlanta eighth-graders is less than the basic level.","Statistics (t-intervals)",900,"Medium"
"**Oreo Cookie Weight (Confidence Interval):** Ann and Tori want to estimate the average weight of an Oreo cookie. They randomly sample 36 cookies and find a mean weight of 11.3921 grams with a standard deviation of 0.0817 grams. Construct and interpret a 90% confidence interval for the true mean weight.","The 90% confidence interval is approximately (11.369, 11.415). df = 35. t* for 90% is approximately 1.690 (using df=35). Margin of error = 1.690 * (0.0817 / sqrt(36)) ≈ 0.023. We are 90% confident that the interval from 11.369 grams to 11.415 grams captures the true mean weight of an Oreo cookie.","Statistics (t-intervals)",720,"Medium"
