question,correct_answer,options,category,time,difficulty
"1. Among the following assets, which has the highest liquidity?","cash","mutual funds;cash;certificates of deposit;checking accounts;money market accounts","Money and Banking",45,Medium
"45. How has electronic banking primarily impacted the financial system's structure?","Decreased the significance of physical branch networks","Eliminated the need for central banking;Decreased the significance of physical branch networks;Removed the need for reserve requirements;Eliminated fractional reserve banking;Made the money multiplier effect stronger","Banking System",45,Medium
"46. A financial institution holds $3500 million in deposits with a 12% reserve requirement. If it currently maintains $500 million in reserves, how much can it still lend while meeting requirements?","$80 million","$80 million;$420 million;$500 million;$920 million;$3080 million","Banking System",60,Hard
"47. The money creation process through the banking system is primarily constrained by:","Reserve requirements and public cash preference","Central bank intervention and interest rates;Total bank capital and liquidity regulations;Reserve requirements and public cash preference;Bank profitability and competition;Economic growth and investment opportunities","Money Creation",45,Medium
"48. If the central bank conducts open market purchases worth $1 trillion with a reserve ratio of 10%, what is the theoretical maximum expansion of the money supply?","$10 trillion","$1 trillion;$2 trillion;$5 trillion;$10 trillion;$100 trillion","Money Multiplier",60,Hard
"49. In the money market equilibrium, what happens when the precautionary demand for money suddenly increases?","Interest rates rise if money supply remains constant","Money supply automatically adjusts downward;Interest rates rise if money supply remains constant;Money velocity necessarily decreases;Interest rates remain unchanged regardless of supply;The central bank must increase reserve requirements","Money Market",60,Hard
"50. Which economic data combination would most strongly indicate the need for monetary tightening?","Rising capacity utilization, accelerating wage growth, and increasing core inflation","Rising capacity utilization, accelerating wage growth, and increasing core inflation;Increasing unemployment, stable prices, and declining consumer confidence;Slowing GDP growth, decreasing retail sales, and stable inflation;Improving trade balance, currency appreciation, and moderate inflation;Rising housing prices, declining manufacturing, and stable unemployment","Monetary Policy",45,Medium
"51. The primary difference between conventional monetary policy and credit easing is:","Credit easing targets specific market segments rather than general interest rates","Credit easing works faster than conventional policy;Credit easing targets specific market segments rather than general interest rates;Credit easing decreases rather than increases liquidity;Conventional policy affects only short-term rates while credit easing affects all rates;Credit easing requires legislative approval while conventional policy doesn't","Monetary Policy",45,Medium
"52. Forward guidance as a monetary policy tool primarily influences:","Market expectations of future interest rate paths","Current interest rates exclusively;Market expectations of future interest rate paths;Bank lending standards only;Current inflation without affecting expectations;Exchange rates independent of interest rates","Monetary Policy",45,Medium
"53. What is the correct sequence for how a negative demand shock affects the economy under rigid monetary policy?","Output falls → unemployment rises → inflation decreases → monetary policy eventually eases","Inflation increases → interest rates rise → investment falls → unemployment increases;Output falls → unemployment rises → inflation decreases → monetary policy eventually eases;Money supply contracts → interest rates rise → consumption increases → output stabilizes;Interest rates fall → saving decreases → aggregate supply expands → employment rises;Exchange rates depreciate → exports increase → aggregate demand rises → inflation accelerates","Monetary Policy Effects",60,Hard
"54. During a liquidity trap scenario, monetary policy becomes less effective primarily because:","Interest rates approach zero, limiting conventional policy options","Banks become unwilling to lend regardless of reserves;Interest rates approach zero, limiting conventional policy options;Money demand becomes perfectly elastic;The money multiplier approaches infinity;Fiscal policy necessarily creates crowding out","Monetary Policy",60,Hard
