```
question,answer,category,time,difficulty
"17.49: Write the equation for the acid ionization of the Zn(NH₃)₄²⁺ ion.","Zn(NH₃)₄²⁺ + H₂O ⇌ Zn(NH₃)₃NH₂²⁺ + NH₄⁺","Chemistry (Acids and Bases)",90,"Easy"
"17.50: Write the equation for the acid ionization of the Cu(H₂O)₆²⁺ ion.","Cu(H₂O)₆²⁺ + H₂O ⇌ Cu(H₂O)₅OH⁺ + H₃O⁺","Chemistry (Acids and Bases)",90,"Easy"
"17.51: For each of the following salts, indicate whether the aqueous solution will be acidic, basic, or neutral. a. Fe(NO₃)₃ b. Na₂CO₃ c. Ca(CN)₂","a. Acidic b. Basic c. Basic","Chemistry (Acids and Bases)",90,"Easy"
"17.52: Note whether aqueous solutions of each of the following salts will be acidic, basic, or neutral. a. Na₂S b. Cu(NO₃)₂ c. KClO₄ d. CH₃NH₃Cl","a. Basic b. Acidic c. Neutral d. Acidic","Chemistry (Acids and Bases)",90,"Easy"
"17.53: Decide whether solutions of the following salts are acidic, neutral, or basic. a. ammonium acetate b. anilinium acetate","a. Neutral b. Acidic","Chemistry (Acids and Bases)",90,"Easy"
"17.54: Decide whether solutions of the following salts are acidic, neutral, or basic. a. ammonium cyanate b. pyridinium cyanate","a. Neutral b. Acidic","Chemistry (Acids and Bases)",90,"Easy"
"17.55: Obtain (a) the K₆ value for NO₂⁻; (b) the Kₐ value for C₅H₅NH⁺ (pyridinium ion).","a. K₆ = 1.7 × 10⁻¹¹ b. Kₐ = 5.6 × 10⁻⁶","Chemistry (Acids and Bases)",120,"Medium"
"17.56: Obtain (a) the K₆ value for ClO⁻; (b) the Kₐ value for NH₃OH⁺ (hydroxylammonium ion).","a. K₆ = 3.3 × 10⁻⁷ b. Kₐ = 1.1 × 10⁻⁶","Chemistry (Acids and Bases)",120,"Medium"
"17.57: What is the pH of a 0.025 M aqueous solution of sodium propionate, NaC₂H₅O₂? What is the concentration of propionic acid in the solution?","pH = 9.15, [C₂H₅COOH] = 1.4 × 10⁻⁵ M","Chemistry (Acids and Bases)",120,"Medium"
"17.65: What is the pH of a solution that is 0.10 M CH₃NH₂ (methylamine) and 0.15 M CH₃NH₃Cl (methylammonium chloride)?","pH = 10.85","Chemistry (Acids and Bases)",120,"Medium"
"17.66: What is the pH of a solution that is 0.15 M C₂H₅NH₂ (ethylamine) and 0.10 M C₂H₅NH₃Br (ethylammonium bromide)?","pH = 11.20","Chemistry (Acids and Bases)",120,"Medium"
"17.67: A buffer is prepared by adding 45.0 mL of 0.15 M NaF to 35.0 mL of 0.10 M HF. What is the pH of the final solution?","pH = 3.14","Chemistry (Acids and Bases)",150,"Medium"
"17.68: A buffer is prepared by adding 115 mL of 0.30 M NH₃ to 145 mL of 0.15 M NH₄NO₃. What is the pH of the final solution?","pH = 9.25","Chemistry (Acids and Bases)",150,"Medium"
"17.69: What is the pH of a buffer solution that is 0.10 M NH₃ and 0.10 M NH₄⁺? What is the pH if 12 mL of 0.20 M hydrochloric acid is added to 125 mL of buffer?","pH = 9.25, pH after addition = 9.15","Chemistry (Acids and Bases)",150,"Medium"
"17.70: A buffer is prepared by mixing 525 mL of 0.50 M formic acid, HCHO₂, and 475 mL of 0.50 M sodium formate, NaCHO₂. Calculate the pH. What would be the pH of 85 mL of the buffer to which 8.5 mL of 0.15 M hydrochloric acid has been added?","pH = 3.74, pH after addition = 3.65","Chemistry (Acids and Bases)",180,"Hard"
"17.71: What is the pH of a buffer solution that is 0.15 M chloroacetic acid and 0.10 M sodium chloroacetate? Kₐ = 1.3 × 10⁻³.","pH = 2.77","Chemistry (Acids and Bases)",150,"Medium"
"17.72: What is the pH of a buffer solution that is 0.10 M formic acid, HCHO₂, and 0.10 M sodium formate, NaCHO₂?","pH = 3.74","Chemistry (Acids and Bases)",120,"Medium"
"17.58: Calculate the OH⁻ concentration and pH of a 0.010 M aqueous solution of sodium cyanide, NaCN. Finally, obtain the hydronium-ion, CN⁻, and HCN concentrations.","[OH⁻] = 2.5 × 10⁻³ M, pH = 11.40, [H₃O⁺] = 4.0 × 10⁻¹² M, [CN⁻] = 0.012 M, [HCN] = 7.5 × 10⁻³ M","Chemistry (Acids and Bases)",150,"Medium"
"17.59: Calculate the concentration of pyridine, C₅H₅N, in a solution that is 0.15 M pyridinium bromide, C₅H₅NHBr. What is the pH of the solution?","[C₅H₅N] = 2.4 × 10⁻⁴ M, pH = 3.62","Chemistry (Acids and Bases)",150,"Medium"
"17.60: What is the pH of a 0.35 M solution of methylammonium chloride, CH₃NH₃Cl? What is the concentration of methylamine in the solution?","pH = 5.65, [CH₃NH₂] = 1.4 × 10⁻⁶ M","Chemistry (Acids and Bases)",150,"Medium"
"17.61: Calculate the degree of ionization of (a) 0.80 M HF (hydrofluoric acid); (b) the same solution that is also 0.10 M HCl.","a. 0.015 b. 0.012","Chemistry (Acids and Bases)",150,"Medium"
"17.62: Calculate the degree of ionization of (a) 0.20 M HCHO₂ (formic acid); (b) the same solution that is also 0.10 M HCl.","a. 0.030 b. 0.018","Chemistry (Acids and Bases)",150,"Medium"
"17.63: What is the pH of a solution that is 0.10 M KNO₂ and 0.15 M HNO₂ (nitrous acid)?","pH = 3.28","Chemistry (Acids and Bases)",120,"Medium"
"17.64: What is the pH of a solution that is 0.20 M KOCN and 0.10 M HOCN (cyanic acid)?","pH = 3.85","Chemistry (Acids and Bases)",120,"Medium"
"17.72: What is the pH of a buffer solution that is 0.10 M propionic acid and 0.20 M sodium propionate?","pH = 5.05","Chemistry (Acids and Bases)",120,"Medium"
"17.73: What is the pH of a buffer solution that is 0.15 M pyridine and 0.10 M pyridinium bromide?","pH = 5.02","Chemistry (Acids and Bases)",120,"Medium"
"17.74: What is the pH of a buffer solution that is 0.20 M methylamine and 0.15 M methylammonium chloride?","pH = 10.67","Chemistry (Acids and Bases)",120,"Medium"
"17.75: How many moles of sodium acetate must be added to 2.0 L of 0.10 M acetic acid to give a solution that has a pH equal to 5.00? Ignore the volume change due to the addition of sodium acetate.","0.22 moles","Chemistry (Acids and Bases)",150,"Medium"
"17.76: How many moles of hydrofluoric acid, HF, must be added to 500.0 mL of 0.30 M sodium fluoride to give a buffer of pH 3.50? Ignore the volume change due to the addition of hydrofluoric acid.","0.075 moles","Chemistry (Acids and Bases)",150,"Medium"
"17.77: What is the pH of a solution in which 15 mL of 0.10 M NaOH is added to 25 mL of 0.10 M HCl?","pH = 1.60","Chemistry (Acids and Bases)",120,"Medium"
"17.78: What is the pH of a solution in which 40 mL of 0.10 M NaOH is added to 25 mL of 0.10 M HCl?","pH = 12.74","Chemistry (Acids and Bases)",120,"Medium"
"17.79: A 1.24-g sample of benzoic acid was dissolved in water to give 50.0 mL of solution. This solution was titrated with 0.180 M NaOH. What was the pH of the solution when the equivalence point was reached?","pH = 8.55","Chemistry (Acids and Bases)",180,"Hard"
"17.80: A 0.400-g sample of propionic acid was dissolved in water to give 50.0 mL of solution. This solution was titrated with 0.150 M NaOH. What was the pH of the solution when the equivalence point was reached?","pH = 8.87","Chemistry (Acids and Bases)",180,"Hard"
"17.81: Find the pH of the solution obtained when 32 mL of 0.087 M ethylamine is titrated to the equivalence point with 0.15 M HCl.","pH = 5.38","Chemistry (Acids and Bases)",180,"Hard"
"17.82: What is the pH at the equivalence point when 22 mL of 0.20 M hydroxylamine is titrated with 0.15 M HCl?","pH = 5.45","Chemistry (Acids and Bases)",180,"Hard"
"17.83: Calculate the pH of a solution obtained by mixing 500.0 mL of 0.10 M NH₃ with 200.0 mL of 0.15 M HCl.","pH = 9.25","Chemistry (Acids and Bases)",150,"Medium"
"17.84: Calculate the pH of a solution obtained by mixing 35.0 mL of 0.15 M acetic acid with 25.0 mL of 0.10 M sodium acetate.","pH = 4.66","Chemistry (Acids and Bases)",150,"Medium"
