question,correct_answer,options,category,time,difficulty
"An economy is currently in short-run equilibrium and real output is below the full-employment level of output. Which of the following market adjustments is most likely to occur in the long run?",Nominal wages will fall shifting the short-run aggregate supply curve to the right.,"The recessionary gap will create upward pressure on prices shifting the aggregate demand curve to the left.;The existence of cyclical unemployment will increase consumption spending and increase real output.;Full-employment output will fall to equal the short-run equilibrium real output.;Nominal wages will fall shifting the short-run aggregate supply curve to the right.;Input prices will increase as firms compete for labor and capital.", Long-Run Adjustment,60,Medium
"If there is an adverse negative short-run aggregate supply shock due to an increase in the price of natural resources and the government pursues no policy to address the supply shock then which of the following will occur in the long run?",Nominal wages will fall with no change in the natural rate of unemployment.,"Nominal wages will fall with no change in the natural rate of unemployment.;Inflation will rise and nominal wages will fall.;Deflation will worsen and nominal wages will rise.;Aggregate demand will increase to restore full employment.;The long-run aggregate supply curve will shift right and increase unemployment.", Long-Run Adjustment,75,Hard
"Which of the following best describes the aggregate demand curve?",It is a curve that shows the level of spending by consumers businesses the government and the foreign sector at different price levels.,"It is a curve that shows the relationship between consumer spending and income.;It is a curve that shows the amount of goods and services domestic consumers will buy from domestic and foreign firms.;It is a curve that shows the level of spending by consumers businesses the government and the foreign sector at different price levels.;It is a curve that shows only the level of government spending at different price levels.;It is a curve that shows the level of spending by all factors of production at different price levels.", Aggregate Demand,45,Medium
"Which of the following explains the relationship between the price level and real output along the aggregate demand curve?",At a lower price level domestic goods will become less expensive compared to foreign goods which causes an increase in spending on domestic goods.,"At a lower price level people need more money to spend and therefore deposit less money in banks which lowers interest rates and increases real output.;At a lower price level the real value of savings decreases which causes an increase in spending.;At a lower price level domestic goods will become less expensive compared to foreign goods which causes an increase in spending on domestic goods.;At a lower price level real incomes decrease which causes an increase in spending.;At a lower price level the purchasing power of consumers’ income decreases which causes an increase in spending.", Aggregate Demand,60,Hard
"Assume the marginal propensity to consume is 0.75. What will happen if government spending increases by $100 billion?",Real output will increase by a maximum of $400 billion.,"Real output will increase by a maximum of $75 billion.;Real output will increase by a maximum of $100 billion.;Real output will increase by a maximum of $175 billion.;Real output will increase by a maximum of $300 billion.;Real output will increase by a maximum of $400 billion.", Multiplier Effect,60,Medium
"According to the expenditure multiplier if the marginal propensity to consume is greater than zero a one-dollar change in autonomous expenditures will result in which of the following?",A greater-than-one-dollar increase in aggregate demand for goods and services,"A one-dollar increase in government spending;A greater-than-one-dollar increase in government spending;A one-dollar increase in the production of goods and services;A one-dollar increase in aggregate demand for goods and services;A greater-than-one-dollar increase in aggregate demand for goods and services", Multiplier Effect,45,Medium
"In an economy where wages and prices are sticky which of the following will happen as a result of an increase in the price level?",There will be an upward movement along the short-run aggregate supply curve to a higher real output level.,"There will be a downward movement along the short-run aggregate supply curve to a lower real output level.;There will be an upward movement along the short-run aggregate supply curve to a higher real output level.;The short-run aggregate supply curve will shift to the right and real output will increase.;The short-run aggregate supply curve will shift to the left and real output will decrease.;The aggregate demand curve will shift to the right and real output will increase.", Aggregate Supply,45,Medium
"If nominal wages are fixed by labor contracts then which of the following explains why the aggregate supply curve is upward sloping?",An increase in the price level will increase profits and production.,"A decrease in the price level will increase profits and production.;A decrease in the price level will decrease profits and increase production.;An increase in the price level will increase real wages and production.;An increase in the price level will increase profits and production.;An increase in the price level will decrease real wages and decrease production.", Aggregate Supply,45,Medium
"Which of the following is illustrated by the long-run aggregate supply LRAS curve and the production possibilities curve PPC?",The maximum sustainable capacity,"The multiplier effect;The maximum sustainable capacity;The trade-off between inflation and unemployment;Sticky wages and prices;Business cycles", LRAS and PPC,30,Easy
"Suppose a nation opened its borders to the free flow of workers from other nations. How would this event likely affect the long-run aggregate supply LRAS curve and the production possibilities curve of the nation?",Both curves would shift to the right.,"The LRAS curve would shift to the right and the production possibilities curve would not shift.;Both curves would shift to the right.;Neither curve would shift.;Both curves would shift to the left.;The LRAS curve would shift to the left and the production possibilities curve would shift to the right.", LRAS and PPC,60,Medium
"Suppose that the prices of labor and inputs to production are fixed in the short run but not in the long run. What is a consequence of this flexibility in the long run?",The long-run aggregate supply curve is vertical and there is no trade-off between inflation and unemployment in the long run.,"The long-run aggregate supply curve is vertical and there is a trade-off between inflation and unemployment in the long run.;The long-run aggregate supply curve is horizontal and there is a trade-off between inflation and unemployment in the long run.;Real output is always greater than full employment in the long run.;Real output is always less than full employment in the long run.", Long-Run Aggregate Supply,60,Hard
"Which of the following is true about the equilibrium real output in the aggregate demand-aggregate supply AD-AS model in the short run?",Equilibrium real output can be above equal to or below full employment.,"Equilibrium real output is always above full employment.;Equilibrium real output is always below full employment.;Equilibrium real output is always equal to full employment.;Equilibrium real output can be above, equal to, or below full employment.;Equilibrium real output is always indeterminate.", AD-AS Model,30,Easy
"Assume that stock prices and home values have increased raising household wealth. At the same time productivity increased due to new technology. What is the likely short-run impact on the economy?",Both the aggregate demand AD and the short-run aggregate supply SRAS curves shift right resulting in a higher real output level and indeterminate price level.,"The aggregate demand AD curve shifts right and the short-run aggregate supply SRAS curve shifts left resulting in a higher price level and no change in the real output level.;The aggregate demand AD curve shifts left and the short-run aggregate supply SRAS curve shifts right resulting in a lower price level and no change in the real output level.;The aggregate demand AD curve shifts right and the short-run aggregate supply SRAS curve shifts left resulting in a higher real output level and lower price level.;Both the aggregate demand AD and the short-run aggregate supply SRAS curves shift right resulting in a higher real output level and indeterminate price level.;Both the aggregate demand AD and the short-run aggregate supply SRAS curves shift right resulting in a lower real output level and indeterminate price level.", AD-AS Shifts,75,Hard
"Assume the economy of Country A is in long-run equilibrium. Which of the following will happen in the short run in Country A if one of its major trading partners Country B experiences a recession?",Aggregate demand will decrease and the price level will decrease.,"Aggregate demand will increase and the price level will increase.;Aggregate demand will decrease and the price level will decrease.;Short-run aggregate supply will decrease and the price level will decrease.;Short-run aggregate supply will increase and the price level will increase.;Short-run aggregate supply will decrease and the price level will increase.", AD-AS Shifts,60,Medium
"Country X is currently in long-run macroeconomic equilibrium. If the country’s economy experiences a significant increase in the price of energy a major input in production which of the following will occur in the short run?",The short-run aggregate supply curve will shift to the left and the actual rate of unemployment will exceed the natural rate of unemployment.,"The aggregate demand curve will shift to the left and the actual rate of unemployment will exceed the natural rate of unemployment.;The aggregate demand curve will shift to the left and there will be an inflationary gap.;The short-run aggregate supply curve will shift to the left and the actual rate of unemployment will exceed the natural rate of unemployment.;The short-run aggregate supply curve will shift to the left and the price level will fall.;The short-run aggregate supply curve will shift to the left and cause an inflationary gap.", AD-AS Shifts,60,Medium
"Assume an economy is currently at full employment. Which of the following best describes the long-run adjustments that will occur in the economy following a negative aggregate demand shock with no government intervention?",Nominal wages will decrease and short-run aggregate supply will increase until full employment is restored in the long run.,"Short-run aggregate supply will decrease offsetting the initial aggregate demand shock and restoring full employment in the long run.;The aggregate demand shock will result in a multiplier effect on real output moving the economy farther away from full employment in the long run.;The price level will decrease and aggregate demand will increase until full employment is restored in the long run.;Nominal wages will decrease and short-run aggregate supply will increase until full employment is restored in the long run.;Real income will decrease and consumption spending will decrease moving the economy farther away from full employment in the long run.", Long-Run Adjustment,75,Hard
"If the natural rate of unemployment exceeds the actual rate of unemployment which of the following will occur in the long run in the absence of government intervention?",Nominal wages will increase.,"There will be cyclical unemployment.;Input prices will decrease.;Nominal wages will increase.;The aggregate demand curve will shift to the left.;The short-run aggregate supply curve will shift to the right.", Long-Run Adjustment,60,Medium
"Which of the following represents an appropriate fiscal policy for the given economic conditions?",A contractionary fiscal policy is appropriate to reduce inflation when there is an inflationary gap.,"An expansionary fiscal policy is appropriate to reduce unemployment when there is an inflationary gap.;An expansionary fiscal policy is appropriate to reduce inflation when there is a recessionary gap.;An expansionary fiscal policy is appropriate to reduce inflation when there is an inflationary gap.;A contractionary fiscal policy is appropriate to reduce unemployment when there is a recessionary gap.;A contractionary fiscal policy is appropriate to reduce inflation when there is an inflationary gap.", Fiscal Policy,45,Medium
"The government of Olympia is considering a fiscal policy action to slow the economy and curb inflation. If the marginal propensity to consume is 0.8 which of the following responses correctly identifies a policy action that would help the government achieve its goals and the impact of that action on Olympia’s real gross domestic product GDP?",Decreasing government spending by $10 billion decreases real GDP by a maximum of $50 billion.,"Increasing taxes by $10 billion increases real GDP by a maximum of $50 billion.;Decreasing taxes by $10 billion decreases real GDP by a maximum of $50 billion.;Increasing taxes by $10 billion increases real GDP by a maximum of $40 billion.;Increasing government spending by $10 billion increases real GDP by a maximum of $50 billion.;Decreasing government spending by $10 billion decreases real GDP by a maximum of $50 billion.", Fiscal Policy and Multiplier,75,Hard
"What is an automatic stabilizer?",It is a program or policy that counteracts the business cycle without any new government action required.,"It is a program or policy that counteracts the business cycle with discretionary fiscal policy.;It is a program or policy that counteracts the business cycle without any new government action required.;It is a tax or spending program that is enacted to balance the federal budget.;It is the change in consumption spending resulting from a given change in disposable income.;It is a part of a market economic system that ensures that markets achieve equilibrium in the long run.", Fiscal Policy,30,Easy
"What is an automatic stabilizer?",It is a program or policy that counteracts the business cycle without any new government action required.,"It is a program or policy that counteracts the business cycle with discretionary fiscal policy.;It is a program or policy that counteracts the business cycle without any new government action required.;It is a tax or spending program that is enacted to balance the federal budget.;It is the change in consumption spending resulting from a given change in disposable income.;It is a part of a market economic system that ensures that markets achieve equilibrium in the long run.", Fiscal Policy,30,Easy
