question,answer,category,difficulty
86 - 85,1,Subtraction,Medium
33 - 24,9,Subtraction,Medium
48 - 28,20,Subtraction,Medium
34 - 7,27,Subtraction,Medium
75 - 57,18,Subtraction,Medium
25 - 10,15,Subtraction,Medium
29 - 27,2,Subtraction,Medium
38 - 27,11,Subtraction,Medium
70 - 13,57,Subtraction,Medium
92 - 20,72,Subtraction,Medium
37 - 9,28,Subtraction,Medium
27 - 27,0,Subtraction,Medium
27 - 5,22,Subtraction,Medium
49 - 41,8,Subtraction,Medium
2 - 2,0,Subtraction,Easy
63 - 51,12,Subtraction,Medium
44 - 7,37,Subtraction,Medium
93 - 58,35,Subtraction,Medium
7 - 1,6,Subtraction,Easy
74 - 8,66,Subtraction,Medium
40 - 7,33,Subtraction,Medium
6 - 2,4,Subtraction,Easy
43 - 16,27,Subtraction,Medium
1 - 1,0,Subtraction,Easy
99 - 69,30,Subtraction,Medium
37 - 25,12,Subtraction,Medium
27 - 14,13,Subtraction,Medium
45 - 21,24,Subtraction,Medium
39 - 30,9,Subtraction,Medium
55 - 21,34,Subtraction,Medium
28 - 3,25,Subtraction,Medium
7 - 3,4,Subtraction,Easy
65 - 44,21,Subtraction,Medium
87 - 15,72,Subtraction,Medium
61 - 45,16,Subtraction,Medium
7 - 6,1,Subtraction,Easy
10 - 6,4,Subtraction,Medium
5 - 5,0,Subtraction,Easy
1 - 1,0,Subtraction,Easy
79 - 68,11,Subtraction,Medium
81 - 79,2,Subtraction,Medium
92 - 22,70,Subtraction,Medium
30 - 4,26,Subtraction,Medium
94 - 54,40,Subtraction,Medium
74 - 50,24,Subtraction,Medium
1 - 1,0,Subtraction,Easy
44 - 37,7,Subtraction,Medium
1 - 1,0,Subtraction,Easy
47 - 30,17,Subtraction,Medium
7 - 7,0,Subtraction,Easy
31 - 13,18,Subtraction,Medium
13 - 5,8,Subtraction,Medium
26 - 6,20,Subtraction,Medium
5 - 5,0,Subtraction,Easy
23 - 5,18,Subtraction,Medium
62 - 41,21,Subtraction,Medium
32 - 24,8,Subtraction,Medium
3 - 3,0,Subtraction,Easy
30 - 10,20,Subtraction,Medium
93 - 72,21,Subtraction,Medium
93 - 34,59,Subtraction,Medium
26 - 26,0,Subtraction,Medium
53 - 33,20,Subtraction,Medium
9 - 9,0,Subtraction,Easy
59 - 14,45,Subtraction,Medium
90 - 58,32,Subtraction,Medium
80 - 36,44,Subtraction,Medium
97 - 8,89,Subtraction,Medium
42 - 11,31,Subtraction,Medium
56 - 23,33,Subtraction,Medium
55 - 50,5,Subtraction,Medium
21 - 3,18,Subtraction,Medium
17 - 6,11,Subtraction,Medium
28 - 3,25,Subtraction,Medium
39 - 11,28,Subtraction,Medium
72 - 63,9,Subtraction,Medium
73 - 55,18,Subtraction,Medium
18 - 12,6,Subtraction,Medium
45 - 10,35,Subtraction,Medium
41 - 41,0,Subtraction,Medium
8 - 1,7,Subtraction,Easy
48 - 12,36,Subtraction,Medium
